,Epoch,Train_loss,Train_acc,Train_IU,Val_loss,Val_acc,Val_IU
0,0.0,0.70486,0.36951,0.25525,0.62688,0.30935,0.19584
1,1.0,0.63037,0.41124,0.2767,0.6108,0.33808,0.17986
2,2.0,0.60222,0.43106,0.29093,0.59783,0.38162,0.23765
3,3.0,0.58362,0.44851,0.30319,0.60152,0.31774,0.16871
4,4.0,0.57268,0.45939,0.31224,0.57756,0.39334,0.24399
5,5.0,0.56321,0.46485,0.31832,0.58438,0.42104,0.19367
6,6.0,0.55334,0.47552,0.326,0.5985,0.37685,0.19828
7,7.0,0.54323,0.48212,0.331,0.56887,0.38422,0.20765
8,8.0,0.53784,0.48969,0.33723,0.58115,0.43365,0.18655
9,9.0,0.53178,0.49548,0.34138,0.58231,0.40626,0.18086
10,10.0,0.52552,0.50209,0.34617,0.56727,0.35083,0.23061
11,11.0,0.52237,0.50349,0.35004,0.58297,0.37894,0.19614
12,12.0,0.51632,0.50867,0.35315,0.54996,0.38086,0.20145
13,13.0,0.51268,0.51105,0.35727,0.56368,0.36929,0.23278
14,14.0,0.50723,0.51789,0.3574,0.56481,0.41542,0.21206
15,15.0,0.50566,0.51914,0.35883,0.5558,0.38952,0.24403
16,16.0,0.50304,0.52106,0.36196,0.57557,0.37458,0.17062
17,17.0,0.49895,0.52656,0.36621,0.56536,0.36987,0.19875
18,18.0,0.49554,0.52977,0.36892,0.55166,0.38799,0.17662
19,19.0,0.49076,0.52887,0.36806,0.55919,0.41618,0.25091
20,20.0,0.49003,0.53241,0.37192,0.56892,0.40873,0.26066
21,21.0,0.48944,0.53566,0.37463,0.54303,0.36678,0.16513
22,22.0,0.4817,0.53827,0.37855,0.56033,0.3815,0.17082
23,23.0,0.48068,0.539,0.37671,0.56704,0.40476,0.17949
24,24.0,0.47724,0.54459,0.38233,0.58301,0.36966,0.19662
25,25.0,0.47658,0.54652,0.38262,0.55931,0.36568,0.19531
26,26.0,0.4742,0.5464,0.38385,0.55737,0.46543,0.24746
27,27.0,0.46962,0.55226,0.38824,0.56299,0.40345,0.21884
28,28.0,0.46712,0.55049,0.38669,0.55384,0.42298,0.22786
29,29.0,0.46538,0.557,0.38866,0.56014,0.42083,0.20252
30,30.0,0.46442,0.5557,0.39052,0.55438,0.36675,0.23738
31,31.0,0.46402,0.55477,0.39129,0.5549,0.43313,0.19636
32,32.0,0.45899,0.55768,0.39316,0.57003,0.44184,0.27437
33,33.0,0.45853,0.56217,0.39534,0.5313,0.40385,0.25956
34,34.0,0.45431,0.56262,0.39993,0.5482,0.37274,0.23936
35,35.0,0.45244,0.56987,0.40322,0.54625,0.38248,0.24943
36,36.0,0.45178,0.56534,0.4023,0.54438,0.40004,0.26023
37,37.0,0.44807,0.5695,0.40382,0.56845,0.43535,0.22598
38,38.0,0.4484,0.57171,0.40399,0.55833,0.38593,0.17158
39,39.0,0.44418,0.57086,0.40652,0.56559,0.38446,0.17545
40,40.0,0.44454,0.57488,0.40784,0.55194,0.37829,0.20133
41,41.0,0.43926,0.57407,0.40784,0.55514,0.37883,0.24927
42,42.0,0.44,0.57623,0.41073,0.55074,0.41606,0.22075
43,43.0,0.43991,0.57868,0.41193,0.55041,0.42879,0.23089
44,44.0,0.43875,0.57665,0.41106,0.55036,0.37776,0.19866
45,45.0,0.43691,0.58017,0.41392,0.56342,0.43258,0.28653
46,46.0,0.43394,0.58044,0.41432,0.57185,0.38605,0.20599
47,47.0,0.43192,0.58129,0.41446,0.56002,0.37916,0.19933
48,48.0,0.43068,0.58309,0.41631,0.5531,0.3986,0.21113
49,49.0,0.42924,0.58627,0.41971,0.55173,0.39654,0.18587
50,50.0,0.42709,0.58671,0.42038,0.55842,0.41868,0.22339
51,51.0,0.42484,0.58935,0.42266,0.55809,0.37101,0.22721
52,52.0,0.4221,0.59095,0.42434,0.56851,0.34098,0.14939
53,53.0,0.4232,0.59231,0.42469,0.53931,0.38713,0.30321
54,54.0,0.42553,0.58983,0.42188,0.54874,0.40748,0.21367
55,55.0,0.42075,0.5912,0.42549,0.56133,0.37683,0.1644
56,56.0,0.41871,0.5949,0.42838,0.56714,0.42563,0.28134
57,57.0,0.41607,0.59464,0.43029,0.56023,0.36375,0.19027
58,58.0,0.41492,0.59526,0.42861,0.53669,0.40227,0.2652
59,59.0,0.41177,0.59798,0.42947,0.56192,0.37815,0.24085
60,60.0,0.41236,0.5978,0.4335,0.54722,0.42244,0.22694
61,61.0,0.41129,0.60264,0.43386,0.57016,0.3998,0.21225
62,62.0,0.40965,0.60023,0.43428,0.53539,0.36559,0.23674
63,63.0,0.40978,0.60047,0.43369,0.55262,0.33955,0.21633
64,64.0,0.41091,0.60251,0.43853,0.57338,0.40043,0.21251
65,65.0,0.40504,0.60531,0.44071,0.56071,0.35006,0.18678
66,66.0,0.40505,0.60423,0.4387,0.55432,0.4174,0.26689
67,67.0,0.40352,0.60527,0.43937,0.55894,0.38738,0.25248
68,68.0,0.40342,0.60496,0.44253,0.55257,0.3736,0.16825
69,69.0,0.40036,0.60869,0.44143,0.57967,0.38823,0.23605
70,70.0,0.39868,0.60951,0.44852,0.53277,0.39613,0.2142
71,71.0,0.39861,0.61052,0.44633,0.55953,0.40192,0.21854
72,72.0,0.39732,0.61127,0.44804,0.56711,0.42901,0.28261
73,73.0,0.39813,0.60903,0.44597,0.54928,0.43319,0.28833
74,74.0,0.3963,0.61088,0.45029,0.57717,0.42696,0.2809
75,75.0,0.39366,0.61409,0.44987,0.56279,0.33957,0.14996
76,76.0,0.39203,0.61674,0.45384,0.55504,0.36464,0.23477
77,77.0,0.38893,0.61555,0.45613,0.55993,0.39145,0.31353
78,78.0,0.39159,0.61723,0.4552,0.57053,0.36454,0.22666
