,Epoch,Train_loss,Train_acc,Train_IU,Val_loss,Val_acc,Val_IU
0,0.0,0.65825,0.41516,0.27761,0.63231,0.33841,0.21799
1,1.0,0.55133,0.49034,0.32408,0.59923,0.35572,0.23165
2,2.0,0.51586,0.52109,0.3505,0.57501,0.445,0.25126
3,3.0,0.49075,0.54082,0.36691,0.57086,0.47146,0.29592
4,4.0,0.47175,0.55375,0.37758,0.55628,0.45489,0.23825
5,5.0,0.45924,0.56629,0.38693,0.5294,0.4966,0.25812
6,6.0,0.44981,0.5742,0.39695,0.54065,0.49173,0.25801
7,7.0,0.43857,0.58441,0.40595,0.54118,0.52734,0.24998
8,8.0,0.43066,0.59006,0.41053,0.52902,0.55069,0.27268
9,9.0,0.42252,0.59675,0.41558,0.54617,0.52316,0.2554
10,10.0,0.41229,0.60397,0.42186,0.5265,0.54476,0.2728
11,11.0,0.41024,0.60914,0.42716,0.52136,0.54594,0.33093
12,12.0,0.40302,0.61538,0.43128,0.52237,0.52957,0.25348
13,13.0,0.39676,0.61682,0.43619,0.53824,0.53169,0.26491
14,14.0,0.38984,0.62158,0.44011,0.52597,0.52167,0.26087
15,15.0,0.38669,0.62643,0.44407,0.55733,0.53468,0.28593
16,16.0,0.38151,0.6307,0.4495,0.50514,0.51659,0.25738
17,17.0,0.37609,0.6352,0.45062,0.54033,0.45418,0.24859
18,18.0,0.3725,0.63649,0.45843,0.51786,0.58419,0.34259
19,19.0,0.36618,0.64215,0.46031,0.50335,0.55601,0.31794
20,20.0,0.36301,0.64434,0.46496,0.56228,0.55561,0.2719
21,21.0,0.36084,0.64574,0.46624,0.5093,0.55925,0.33939
22,22.0,0.35565,0.65153,0.47286,0.51221,0.62602,0.33319
23,23.0,0.35202,0.65318,0.47485,0.4973,0.56727,0.28995
24,24.0,0.34869,0.65486,0.47695,0.50521,0.56873,0.27095
25,25.0,0.34724,0.65951,0.48155,0.51718,0.51176,0.3225
26,26.0,0.34572,0.6611,0.48374,0.53447,0.5329,0.27148
27,27.0,0.33721,0.6627,0.48735,0.51803,0.53164,0.25329
28,28.0,0.33919,0.66395,0.48867,0.54309,0.49643,0.31842
29,29.0,0.3358,0.66656,0.49287,0.51433,0.61186,0.37319
30,30.0,0.33136,0.66808,0.4951,0.51156,0.57338,0.33584
31,31.0,0.32703,0.6715,0.49762,0.50153,0.61918,0.38443
32,32.0,0.3268,0.67316,0.4977,0.50417,0.5558,0.30367
33,33.0,0.32405,0.67533,0.50243,0.53472,0.46438,0.30264
