,Epoch,Train_loss,Train_acc,Train_IU,Val_loss,Val_acc,Val_IU
0,0.0,0.65057,0.42013,0.28454,0.62176,0.341,0.18605
1,1.0,0.54844,0.49376,0.3284,0.56606,0.45601,0.37077
2,2.0,0.51759,0.52136,0.35103,0.57658,0.53305,0.28611
3,3.0,0.49103,0.54278,0.36688,0.52797,0.531,0.30124
4,4.0,0.47449,0.55535,0.37808,0.52167,0.53659,0.31971
5,5.0,0.46113,0.56644,0.39083,0.54496,0.55277,0.24611
6,6.0,0.45187,0.57713,0.39839,0.5136,0.54723,0.32212
7,7.0,0.43749,0.58636,0.40663,0.54503,0.55206,0.31173
8,8.0,0.43224,0.58647,0.40976,0.52005,0.54731,0.3078
9,9.0,0.42224,0.59883,0.41932,0.52306,0.55572,0.31968
10,10.0,0.41562,0.60506,0.42324,0.52227,0.55624,0.36811
11,11.0,0.40873,0.60904,0.42836,0.52042,0.54732,0.38553
12,12.0,0.40059,0.61404,0.435,0.52889,0.57168,0.32567
13,13.0,0.39334,0.61616,0.43944,0.50057,0.55516,0.26787
14,14.0,0.3917,0.62591,0.44257,0.53726,0.54387,0.25159
15,15.0,0.3869,0.62513,0.44476,0.51239,0.56557,0.33508
16,16.0,0.38216,0.63154,0.45023,0.51133,0.56408,0.26693
17,17.0,0.37672,0.63318,0.45478,0.52289,0.52884,0.3208
18,18.0,0.37327,0.63574,0.45823,0.49001,0.54172,0.23273
19,19.0,0.36897,0.63982,0.46063,0.51027,0.51159,0.26789
20,20.0,0.36329,0.64231,0.46382,0.51566,0.53955,0.24274
21,21.0,0.35795,0.64662,0.46973,0.54803,0.52072,0.2694
22,22.0,0.35628,0.64885,0.47287,0.52744,0.51878,0.28243
23,23.0,0.35635,0.65228,0.47524,0.53028,0.49601,0.26266
24,24.0,0.35106,0.65319,0.4768,0.52041,0.46962,0.25852
25,25.0,0.34636,0.65486,0.48185,0.50127,0.51413,0.34147
26,26.0,0.34424,0.65734,0.48122,0.4988,0.52512,0.23569
27,27.0,0.34242,0.66209,0.48617,0.51428,0.51918,0.23648
28,28.0,0.3377,0.66457,0.49135,0.53616,0.47699,0.25778
29,29.0,0.33656,0.66324,0.48775,0.51191,0.4657,0.26308
30,30.0,0.33275,0.66502,0.49355,0.52833,0.51333,0.27165
31,31.0,0.32964,0.66916,0.49999,0.50904,0.53372,0.26902
32,32.0,0.32819,0.66986,0.49662,0.48703,0.4851,0.26703
33,33.0,0.3284,0.67383,0.49969,0.50924,0.5305,0.28335
34,34.0,0.32237,0.67578,0.50705,0.50229,0.45797,0.25578
35,35.0,0.32272,0.67972,0.50674,0.51868,0.48699,0.25489
36,36.0,0.3187,0.679,0.50968,0.50201,0.49874,0.24517
37,37.0,0.31652,0.67946,0.5112,0.53692,0.53308,0.24577
38,38.0,0.31461,0.68034,0.5143,0.50769,0.4815,0.25574
39,39.0,0.31429,0.68113,0.51303,0.49521,0.50071,0.23538
40,40.0,0.30978,0.68544,0.51753,0.48128,0.47224,0.26237
41,41.0,0.30736,0.68791,0.52367,0.50224,0.45982,0.2191
42,42.0,0.30791,0.68823,0.52343,0.49106,0.47295,0.26098
43,43.0,0.30638,0.68904,0.52243,0.52219,0.48768,0.26655
44,44.0,0.30505,0.69054,0.52311,0.51062,0.43088,0.23733
45,45.0,0.29928,0.69319,0.52916,0.51908,0.45308,0.21401
46,46.0,0.29973,0.69254,0.52764,0.52545,0.51122,0.2859
47,47.0,0.29401,0.69472,0.53352,0.50816,0.52979,0.23504
48,48.0,0.2968,0.6969,0.53212,0.50813,0.5083,0.23081
49,49.0,0.29224,0.6986,0.53786,0.50763,0.49713,0.2345
50,50.0,0.29157,0.69978,0.5399,0.52094,0.47436,0.26281
51,51.0,0.28936,0.70085,0.5389,0.51121,0.52146,0.24407
52,52.0,0.29146,0.69882,0.53845,0.50572,0.53173,0.29157
53,53.0,0.28688,0.70181,0.54263,0.5239,0.47288,0.25529
54,54.0,0.28778,0.70229,0.54356,0.53191,0.50302,0.27789
55,55.0,0.28657,0.70579,0.54492,0.52707,0.51429,0.28015
56,56.0,0.28409,0.70428,0.54323,0.49062,0.49446,0.23711
57,57.0,0.28212,0.7064,0.54726,0.51411,0.45049,0.21584
58,58.0,0.28253,0.70581,0.54686,0.5133,0.48321,0.26798
59,59.0,0.28046,0.7082,0.55025,0.51383,0.55332,0.29205
60,60.0,0.27852,0.71021,0.55169,0.49496,0.47355,0.23042
61,61.0,0.27324,0.7127,0.55718,0.52417,0.53394,0.28465
