,Epoch,Train_loss,Train_acc,Train_IU,Val_loss,Val_acc,Val_IU
0,0.0,0.64492,0.42782,0.28354,0.61402,0.32469,0.25819
1,1.0,0.54597,0.49863,0.33153,0.57209,0.46254,0.317
2,2.0,0.51163,0.52631,0.35268,0.56478,0.42557,0.28508
3,3.0,0.49551,0.53837,0.36004,0.54427,0.44497,0.29801
4,4.0,0.47552,0.5561,0.37909,0.56446,0.44833,0.29274
5,5.0,0.46036,0.56836,0.38977,0.55187,0.50426,0.33156
6,6.0,0.44863,0.57751,0.39621,0.52716,0.51011,0.31972
7,7.0,0.44378,0.58092,0.39917,0.55512,0.48758,0.25422
8,8.0,0.434,0.59283,0.41018,0.52981,0.49778,0.30751
9,9.0,0.42781,0.59664,0.41331,0.53587,0.52176,0.33272
10,10.0,0.41526,0.60161,0.41592,0.53917,0.51507,0.27497
11,11.0,0.4101,0.60762,0.42556,0.53194,0.51391,0.27877
12,12.0,0.40582,0.61092,0.42919,0.52624,0.51939,0.27073
13,13.0,0.39863,0.61608,0.43484,0.51707,0.51581,0.26788
14,14.0,0.39544,0.62073,0.43908,0.52643,0.52965,0.31129
15,15.0,0.38886,0.62655,0.44637,0.54142,0.47671,0.25975
16,16.0,0.38606,0.62769,0.44609,0.54668,0.53194,0.27383
17,17.0,0.37948,0.63203,0.45311,0.53094,0.49354,0.31829
18,18.0,0.37394,0.6383,0.45574,0.52674,0.4991,0.31196
19,19.0,0.37247,0.63769,0.45954,0.53964,0.54436,0.27467
20,20.0,0.36848,0.64289,0.46225,0.53177,0.50418,0.25482
21,21.0,0.36415,0.64697,0.46698,0.51719,0.47176,0.30448
22,22.0,0.361,0.64746,0.46977,0.51091,0.51942,0.26803
23,23.0,0.35528,0.65344,0.47312,0.52737,0.5138,0.3114
24,24.0,0.35279,0.65287,0.47929,0.50494,0.51211,0.26384
25,25.0,0.34983,0.65504,0.4801,0.52773,0.47735,0.25814
26,26.0,0.34814,0.65694,0.48043,0.53334,0.50877,0.27619
27,27.0,0.34416,0.66005,0.48667,0.51541,0.54939,0.34446
28,28.0,0.34148,0.66274,0.48828,0.52515,0.53551,0.33809
29,29.0,0.33918,0.66662,0.49151,0.53845,0.52458,0.22374
30,30.0,0.33734,0.66482,0.49116,0.51125,0.48206,0.25147
31,31.0,0.33428,0.66862,0.49537,0.51294,0.47426,0.30118
32,32.0,0.33146,0.67281,0.49924,0.51004,0.56745,0.30043
33,33.0,0.32586,0.67068,0.50155,0.5358,0.52117,0.26863
34,34.0,0.32562,0.67306,0.50323,0.52914,0.43917,0.23862
35,35.0,0.32339,0.67637,0.50747,0.53837,0.46306,0.30195
