,Epoch,Train_loss,Train_acc,Train_IU,Val_loss,Val_acc,Val_IU
0,0.0,0.8536,0.32606,0.23656,0.80091,0.24908,0.14048
1,1.0,0.73999,0.34761,0.25565,0.75036,0.25051,0.15001
2,2.0,0.70342,0.36523,0.26401,0.72983,0.28156,0.21431
3,3.0,0.67525,0.37925,0.26858,0.72155,0.25735,0.15367
4,4.0,0.65829,0.38846,0.27113,0.70588,0.27694,0.21286
5,5.0,0.64482,0.39459,0.27151,0.67188,0.2948,0.23024
6,6.0,0.63066,0.40302,0.27448,0.6679,0.30162,0.23412
7,7.0,0.62182,0.40763,0.27777,0.63939,0.28545,0.17569
8,8.0,0.61252,0.41204,0.27981,0.6307,0.30556,0.23991
9,9.0,0.59966,0.42108,0.28436,0.64812,0.31765,0.20039
10,10.0,0.59806,0.42726,0.28974,0.61896,0.29382,0.18396
11,11.0,0.59502,0.42999,0.28923,0.6284,0.30278,0.16259
12,12.0,0.58439,0.4371,0.29551,0.61602,0.30952,0.19536
13,13.0,0.5786,0.44151,0.29846,0.63377,0.32552,0.20948
14,14.0,0.57722,0.44269,0.29884,0.62095,0.32111,0.20169
15,15.0,0.57198,0.44694,0.30154,0.63682,0.28849,0.17829
16,16.0,0.56842,0.44756,0.30444,0.64341,0.29685,0.18859
17,17.0,0.56792,0.45064,0.30468,0.62931,0.31522,0.2458
18,18.0,0.56004,0.45389,0.30869,0.64738,0.32844,0.21141
19,19.0,0.55617,0.45751,0.30928,0.61759,0.33088,0.21658
20,20.0,0.55306,0.45712,0.30877,0.59974,0.33414,0.21238
21,21.0,0.54863,0.46272,0.31376,0.59413,0.40933,0.27129
22,22.0,0.54758,0.4655,0.31535,0.65087,0.31521,0.16794
23,23.0,0.5456,0.4688,0.31741,0.61113,0.38701,0.25602
24,24.0,0.53911,0.46711,0.31864,0.61304,0.3299,0.21325
25,25.0,0.53864,0.47241,0.32282,0.5944,0.3887,0.21532
26,26.0,0.53449,0.47468,0.32286,0.61385,0.35124,0.2257
27,27.0,0.53335,0.477,0.32513,0.60018,0.36554,0.23579
28,28.0,0.53121,0.47802,0.32529,0.58405,0.38818,0.25195
29,29.0,0.52774,0.48144,0.32713,0.5721,0.39175,0.25118
30,30.0,0.52974,0.47882,0.32451,0.61936,0.35243,0.18952
31,31.0,0.5194,0.48349,0.33312,0.57251,0.44024,0.2833
32,32.0,0.52236,0.48693,0.33073,0.63571,0.36517,0.23321
33,33.0,0.52138,0.48732,0.33057,0.58361,0.37848,0.24676
34,34.0,0.51933,0.48884,0.33372,0.59828,0.38495,0.25394
35,35.0,0.51764,0.48772,0.33398,0.56158,0.48895,0.26966
36,36.0,0.51532,0.49213,0.33538,0.59878,0.40914,0.2659
37,37.0,0.51664,0.49241,0.33545,0.5919,0.35593,0.19125
38,38.0,0.50929,0.49155,0.33674,0.56642,0.4661,0.2528
39,39.0,0.50966,0.49272,0.33595,0.59162,0.43397,0.23788
40,40.0,0.50585,0.49784,0.34089,0.5882,0.48274,0.25336
41,41.0,0.50653,0.49871,0.34092,0.58116,0.4711,0.2543
42,42.0,0.50313,0.49954,0.34062,0.56411,0.40153,0.21679
43,43.0,0.50355,0.50156,0.34206,0.60473,0.41236,0.22178
44,44.0,0.5002,0.50329,0.34469,0.58089,0.46149,0.23423
45,45.0,0.5004,0.50401,0.34474,0.60111,0.43723,0.22747
46,46.0,0.49812,0.50569,0.34527,0.57843,0.46396,0.24899
47,47.0,0.49901,0.50577,0.3461,0.573,0.47518,0.25803
48,48.0,0.49485,0.50784,0.34954,0.60973,0.47032,0.24721
49,49.0,0.49622,0.5101,0.34784,0.57871,0.45379,0.24563
50,50.0,0.49094,0.51221,0.35067,0.58447,0.48499,0.25221
51,51.0,0.49119,0.51263,0.35209,0.58619,0.48353,0.26131
52,52.0,0.49335,0.51345,0.35194,0.54814,0.43867,0.23466
53,53.0,0.48784,0.51328,0.35259,0.58369,0.44453,0.23929
54,54.0,0.48939,0.51586,0.35362,0.57933,0.44877,0.22932
55,55.0,0.48727,0.51597,0.35451,0.56857,0.4092,0.22569
56,56.0,0.48582,0.51789,0.35486,0.56652,0.48365,0.31765
57,57.0,0.48632,0.5183,0.35552,0.59559,0.45415,0.24398
58,58.0,0.48671,0.51754,0.35328,0.56516,0.44712,0.23083
59,59.0,0.48549,0.51698,0.3543,0.56148,0.47586,0.2549
60,60.0,0.48199,0.52245,0.35627,0.57428,0.49593,0.25616
61,61.0,0.47646,0.52337,0.36026,0.59912,0.45293,0.2353
62,62.0,0.47887,0.52325,0.36121,0.58298,0.45495,0.24819
63,63.0,0.47527,0.52593,0.36351,0.58456,0.45641,0.24076
64,64.0,0.4747,0.52837,0.36314,0.56567,0.45671,0.24608
65,65.0,0.47314,0.52605,0.36358,0.56207,0.52541,0.25943
66,66.0,0.47471,0.52847,0.3628,0.56494,0.49588,0.26542
67,67.0,0.47252,0.53192,0.3658,0.56696,0.46593,0.24114
68,68.0,0.47308,0.52971,0.36239,0.58056,0.49371,0.25987
69,69.0,0.47134,0.52919,0.36396,0.56794,0.48327,0.2504
70,70.0,0.46896,0.53454,0.36747,0.60061,0.4653,0.25333
71,71.0,0.46811,0.53392,0.36784,0.56863,0.48598,0.25057
72,72.0,0.46799,0.531,0.3664,0.58582,0.48136,0.24453
73,73.0,0.46212,0.53479,0.36993,0.5572,0.49797,0.27017
74,74.0,0.46506,0.53554,0.36981,0.54818,0.52718,0.26525
75,75.0,0.461,0.53554,0.37189,0.55754,0.52021,0.26827
76,76.0,0.46381,0.53733,0.36977,0.57307,0.50962,0.26135
77,77.0,0.46099,0.53898,0.37333,0.55078,0.5035,0.25082
78,78.0,0.46189,0.53895,0.37296,0.55806,0.51683,0.26919
