,Epoch,Train_loss,Train_acc,Train_IU,Val_loss,Val_acc,Val_IU
0,0.0,0.68098,0.38678,0.27126,0.66521,0.29813,0.23152
1,1.0,0.58448,0.44071,0.30089,0.58624,0.38343,0.25349
2,2.0,0.54907,0.46545,0.32052,0.59503,0.42138,0.24259
3,3.0,0.52842,0.47946,0.32962,0.60185,0.46583,0.26044
4,4.0,0.51104,0.49455,0.34075,0.58893,0.42997,0.22879
5,5.0,0.4984,0.50597,0.34894,0.58039,0.52601,0.27264
6,6.0,0.48128,0.52059,0.3607,0.59903,0.502,0.2672
7,7.0,0.47416,0.52611,0.36503,0.56455,0.44157,0.23755
8,8.0,0.46756,0.53374,0.3692,0.5642,0.52234,0.34508
9,9.0,0.45867,0.54104,0.37711,0.56259,0.52988,0.28803
10,10.0,0.45145,0.54848,0.38042,0.55274,0.54897,0.26371
11,11.0,0.44658,0.55348,0.38595,0.59429,0.51911,0.24834
12,12.0,0.43621,0.56238,0.39732,0.5743,0.53193,0.28044
13,13.0,0.43141,0.56584,0.40012,0.55605,0.51553,0.2337
14,14.0,0.4235,0.57233,0.40516,0.58691,0.54672,0.26991
15,15.0,0.42068,0.57528,0.40999,0.54485,0.54368,0.25565
16,16.0,0.4135,0.57646,0.41461,0.54997,0.52581,0.2638
17,17.0,0.40835,0.58648,0.41948,0.58157,0.52862,0.25569
18,18.0,0.40707,0.58389,0.41847,0.58448,0.5328,0.27196
19,19.0,0.40297,0.58915,0.42437,0.6124,0.51717,0.2616
20,20.0,0.39332,0.5956,0.43283,0.5472,0.53927,0.32455
21,21.0,0.3899,0.59749,0.43213,0.54525,0.49169,0.24688
22,22.0,0.38462,0.6006,0.43436,0.56137,0.54762,0.2441
23,23.0,0.38435,0.60554,0.44132,0.56706,0.5243,0.22537
24,24.0,0.38146,0.60681,0.44323,0.52831,0.52814,0.27605
25,25.0,0.37458,0.61053,0.44525,0.5447,0.53035,0.24734
26,26.0,0.37713,0.60971,0.44675,0.54685,0.52594,0.22809
27,27.0,0.36937,0.61045,0.45,0.60153,0.53748,0.28099
28,28.0,0.37007,0.61579,0.4514,0.54542,0.51541,0.23159
29,29.0,0.36154,0.62546,0.45979,0.55924,0.54022,0.26478
30,30.0,0.36135,0.62171,0.45896,0.56901,0.55037,0.23974
31,31.0,0.36109,0.62277,0.4619,0.57331,0.55489,0.25155
32,32.0,0.35561,0.6297,0.46866,0.55641,0.52733,0.23425
33,33.0,0.35323,0.62759,0.46686,0.57819,0.53959,0.22587
34,34.0,0.34537,0.63442,0.47512,0.54201,0.52439,0.24296
35,35.0,0.34768,0.63226,0.47174,0.56361,0.50866,0.28123
36,36.0,0.34447,0.63527,0.47468,0.5626,0.55257,0.24088
37,37.0,0.34354,0.63854,0.47722,0.55428,0.52643,0.23355
38,38.0,0.33869,0.63995,0.47904,0.573,0.55228,0.26815
39,39.0,0.33831,0.64019,0.48052,0.56384,0.52447,0.26903
40,40.0,0.33782,0.64189,0.48269,0.54607,0.53957,0.22582
41,41.0,0.33167,0.64461,0.48846,0.56738,0.48989,0.24587
42,42.0,0.33064,0.64753,0.48764,0.54464,0.5105,0.22499
43,43.0,0.33,0.64725,0.48873,0.5559,0.52926,0.26775
44,44.0,0.3292,0.6481,0.48941,0.53826,0.52458,0.25802
45,45.0,0.32307,0.64957,0.49369,0.56825,0.50248,0.21415
46,46.0,0.32157,0.65392,0.49778,0.5444,0.52103,0.22466
47,47.0,0.31849,0.65595,0.50032,0.57221,0.50009,0.25463
48,48.0,0.31904,0.65668,0.49767,0.60105,0.53893,0.28261
49,49.0,0.31501,0.65859,0.50479,0.58552,0.50323,0.26567
50,50.0,0.3131,0.66043,0.50734,0.54178,0.49367,0.26444
51,51.0,0.31264,0.65907,0.50635,0.55962,0.50914,0.27067
52,52.0,0.31128,0.66341,0.50991,0.60136,0.52964,0.28706
53,53.0,0.30847,0.66398,0.51163,0.60624,0.51221,0.31095
54,54.0,0.30922,0.66746,0.51341,0.569,0.47675,0.21414
55,55.0,0.3066,0.66562,0.51127,0.56334,0.52458,0.26982
56,56.0,0.3044,0.6692,0.51501,0.5672,0.54819,0.25358
57,57.0,0.30228,0.67066,0.51809,0.58225,0.52467,0.2651
58,58.0,0.3002,0.6722,0.52257,0.54773,0.53485,0.2498
59,59.0,0.30109,0.67382,0.52036,0.6385,0.50221,0.25626
60,60.0,0.29793,0.67316,0.52313,0.57279,0.5376,0.24518
61,61.0,0.29636,0.67644,0.52459,0.59542,0.52237,0.27627
62,62.0,0.29552,0.6787,0.52549,0.56059,0.51059,0.2415
63,63.0,0.29311,0.67921,0.52685,0.57584,0.49221,0.26544
64,64.0,0.29594,0.68058,0.52852,0.56775,0.49595,0.31875
65,65.0,0.29669,0.67826,0.5258,0.62702,0.48658,0.25252
66,66.0,0.28761,0.68004,0.52834,0.5779,0.50794,0.25685
67,67.0,0.28746,0.68068,0.53415,0.59439,0.51599,0.28196
68,68.0,0.28543,0.68358,0.53304,0.55231,0.52561,0.29457
69,69.0,0.28309,0.68458,0.53669,0.55235,0.54522,0.34392
70,70.0,0.28576,0.68893,0.53744,0.61422,0.49413,0.23209
71,71.0,0.28101,0.68753,0.53931,0.59788,0.51043,0.23323
72,72.0,0.28105,0.68903,0.5376,0.60005,0.48238,0.2445
73,73.0,0.28081,0.6902,0.5405,0.58817,0.52362,0.24634
74,74.0,0.27772,0.68985,0.54291,0.57515,0.4876,0.22826
75,75.0,0.2763,0.68879,0.5463,0.5725,0.52824,0.28652
76,76.0,0.27554,0.69426,0.5475,0.67691,0.42138,0.22787
77,77.0,0.27283,0.69607,0.55025,0.59799,0.49751,0.27021
78,78.0,0.27415,0.69346,0.54784,0.58828,0.4762,0.2474
