,Epoch,Train_loss,Train_acc,Train_IU,Val_loss,Val_acc,Val_IU
0,0.0,0.69919,0.37617,0.25513,0.62002,0.33077,0.20759
1,1.0,0.61622,0.42061,0.27986,0.59187,0.3616,0.22674
2,2.0,0.58972,0.44056,0.29587,0.58389,0.35173,0.22092
3,3.0,0.57609,0.45435,0.30793,0.57375,0.4499,0.27909
4,4.0,0.56133,0.4675,0.31751,0.59447,0.46196,0.2794
5,5.0,0.55118,0.48045,0.32877,0.57533,0.39357,0.24453
6,6.0,0.54155,0.48757,0.33372,0.55347,0.37037,0.24013
7,7.0,0.53355,0.49585,0.33979,0.59246,0.4123,0.21132
8,8.0,0.52581,0.50091,0.34622,0.55478,0.3715,0.18882
9,9.0,0.5154,0.50922,0.35049,0.58645,0.39296,0.20361
10,10.0,0.51356,0.51638,0.3552,0.55964,0.46082,0.36321
11,11.0,0.50604,0.52156,0.36157,0.56728,0.42747,0.26447
12,12.0,0.50031,0.52574,0.36155,0.55358,0.41822,0.25266
13,13.0,0.49289,0.52974,0.36807,0.54808,0.39193,0.2072
14,14.0,0.48986,0.53264,0.36889,0.55119,0.38809,0.19862
15,15.0,0.48575,0.53649,0.37379,0.54078,0.40427,0.25725
16,16.0,0.48161,0.54149,0.37613,0.55758,0.43516,0.27424
17,17.0,0.47353,0.54542,0.38263,0.55188,0.40789,0.25855
18,18.0,0.47326,0.5495,0.38507,0.58861,0.39247,0.19368
19,19.0,0.46628,0.55572,0.38992,0.54654,0.39889,0.20644
20,20.0,0.46175,0.55616,0.39148,0.54401,0.4204,0.24942
21,21.0,0.45811,0.56048,0.39661,0.56901,0.42496,0.26831
22,22.0,0.45728,0.5648,0.39752,0.5482,0.4765,0.24811
23,23.0,0.45293,0.56543,0.39847,0.51702,0.43582,0.27451
24,24.0,0.44811,0.56853,0.40442,0.54706,0.4146,0.21862
25,25.0,0.44637,0.57099,0.40368,0.55362,0.43763,0.21988
26,26.0,0.44285,0.57503,0.40697,0.52658,0.40785,0.25569
27,27.0,0.43838,0.57534,0.41038,0.57069,0.41054,0.20401
28,28.0,0.43526,0.57863,0.41329,0.5259,0.35917,0.22464
29,29.0,0.4339,0.58145,0.41432,0.53476,0.40986,0.21799
30,30.0,0.42997,0.58356,0.41919,0.52388,0.40911,0.21415
31,31.0,0.42515,0.58758,0.4224,0.55046,0.42051,0.17611
32,32.0,0.4285,0.5866,0.42331,0.52059,0.44512,0.24183
33,33.0,0.42128,0.59111,0.42267,0.54281,0.35272,0.1834
34,34.0,0.4217,0.59036,0.42578,0.54049,0.35901,0.18261
35,35.0,0.41619,0.59322,0.42969,0.5368,0.37288,0.19418
36,36.0,0.41555,0.59263,0.42879,0.53657,0.36783,0.19723
37,37.0,0.41534,0.59722,0.43276,0.51968,0.43455,0.22477
38,38.0,0.41115,0.6018,0.43632,0.54302,0.37321,0.23162
39,39.0,0.40858,0.59909,0.43764,0.53958,0.47934,0.25401
40,40.0,0.40332,0.60321,0.43831,0.53722,0.41455,0.22782
41,41.0,0.40276,0.6065,0.44375,0.5318,0.35932,0.19152
42,42.0,0.39984,0.60845,0.44411,0.55348,0.37186,0.19111
43,43.0,0.39678,0.60897,0.44431,0.60509,0.38422,0.23956
44,44.0,0.39479,0.60934,0.44803,0.55103,0.39984,0.21482
45,45.0,0.39253,0.60949,0.44397,0.54322,0.42687,0.17899
